lon,lat,depth,mw,date
120.543,19.007,20,4.5,13/1/2003
122.62,1.918,493,5.2,17/1/2003
128.569,2.618,48,4.2,21/1/2003
125.727,0.802,20,4.8,24/1/2003
126.476,2.85,42,5.1,28/1/2003
126.375,1.539,30,4.7,30/1/2003
121.569,20.912,65,4.9,8/2/2003
123.887,12.166,15,5.6,15/2/2003
124.011,12.205,9,6.3,15/2/2003
123.967,11.997,10,4.5,17/2/2003
126.448,3.496,57,4.6,18/2/2003
121.64,21.907,10,4.4,19/2/2003
121.304,20.111,27,4.3,20/2/2003
126.372,1.408,40,4.7,20/2/2003
128.975,1.629,15,4.6,28/2/2003
121.776,15.528,22,5.1,2/3/2003
123.834,6.588,51,4.7,6/3/2003
126.299,9.918,27,4.8,8/3/2003
126.933,7.445,20,4.4,8/3/2003
127.262,1.672,90,6.3,10/3/2003
126.265,7.911,36,4.8,13/3/2003
125.756,12.165,31,4.8,16/3/2003
125.743,12.139,37,5,16/3/2003
125.697,12.129,32,4.7,16/3/2003
126.321,1.616,55,4.7,16/3/2003
120.596,18.844,35,4.3,18/3/2003
126.627,2.091,67,5.1,2/4/2003
120.471,23.129,20,4.3,3/4/2003
123.818,12.132,10,4.5,3/4/2003
126.069,0.529,25,4.6,6/4/2003
126.86,5.563,60,5.1,7/4/2003
121.178,18.947,50,5.2,7/4/2003
126.699,7.649,53,4.2,11/4/2003
120.685,13.825,133,5,12/4/2003
121.966,0.175,200,5.1,16/4/2003
126.481,10.348,15,4.6,17/4/2003
126.568,4.773,87,4.9,20/4/2003
121.891,1.228,35,5.1,24/4/2003
126.536,2.198,58,4.7,26/4/2003
125.532,6.011,87,4.9,26/4/2003
120.163,21.776,27,4.1,2/5/2003
123.992,12.003,10,4.8,2/5/2003
127.359,0.186,116,6,5/5/2003
127.99,3.67,45,6.2,5/5/2003
122.55,17.301,20,4.5,10/5/2003
126.287,1.766,40,4.7,12/5/2003
121.134,19.197,37,4.3,15/5/2003
126.89,1.921,90,5,16/5/2003
121.234,19.146,15,4.3,17/5/2003
125.069,13.833,36,4.6,17/5/2003
128.861,1.865,15,4.5,19/5/2003
121.41,20.122,39,4.5,19/5/2003
123.884,0.092,119,5.2,22/5/2003
125.436,11.292,50,4.2,22/5/2003
124.152,11.938,16,5.2,23/5/2003
124.151,12.017,15,4.5,23/5/2003
124.149,11.969,10,4.7,23/5/2003
126.523,1.23,43,4.8,25/5/2003
125.435,9.618,25,4.7,26/5/2003
120.451,1.075,41,4.6,26/5/2003
128.886,2.355,25,6.9,26/5/2003
123.732,6.75,566,6.3,26/5/2003
128.823,1.88,23,4.7,27/5/2003
128.814,2.385,15,4.8,27/5/2003
126.815,2.399,31,4.2,28/5/2003
128.917,2.372,26,4.8,29/5/2003
128.851,0.533,35,4.1,29/5/2003
128.779,2.483,58,5,29/5/2003
128.822,2.551,48,4.8,30/5/2003
126.444,6.219,72,4.8,30/5/2003
121.463,22.933,21,4.5,31/5/2003
128.861,2.47,60,5.1,3/6/2003
119.875,0.847,35,4.5,3/6/2003
123.919,23.614,37,4.4,3/6/2003
122.914,23.919,10,4.5,5/6/2003
121.368,19.886,48,5,8/6/2003
125.64,12.807,25,4.3,8/6/2003
121.639,23.544,45,5.7,10/6/2003
119.219,15.438,15,4.6,10/6/2003
120.467,13.208,52,5.1,12/6/2003
121.171,21.325,31,4.4,14/6/2003
124.098,12.07,17,4.4,15/6/2003
123.952,6.719,52,5.2,16/6/2003
121.603,23.541,44,5,16/6/2003
126.781,4.732,59,4.3,26/6/2003
123.793,12.199,15,4.3,26/6/2003
123.884,12.341,17,5.7,26/6/2003
121.932,20.53,15,4.2,26/6/2003
126.216,0.878,43,5.4,30/6/2003
122.559,4.564,610,5.9,1/7/2003
124.922,12.865,38,5.7,1/7/2003
125.46,9.637,25,4.4,6/7/2003
121.984,20.5,23,5.3,7/7/2003
122.062,20.501,18,5,7/7/2003
121.986,20.536,19,4.3,7/7/2003
121.994,20.465,17,4.3,7/7/2003
122.016,9.328,48,5.5,11/7/2003
122.03,9.276,52,4,13/7/2003
126.497,6.439,44,4.4,14/7/2003
126.74,1.325,15,4.8,14/7/2003
119.593,18.01,30,4.8,17/7/2003
119.6,18.003,25,5.2,17/7/2003
124.425,0.08,77,5.7,24/7/2003
126.925,5.093,15,5.2,31/7/2003
126.325,1.54,58,4.7,3/8/2003
120.487,21.983,36,4.9,4/8/2003
126.396,6.01,25,5.1,4/8/2003
126.354,5.88,15,4.7,4/8/2003
121.67,23.936,6,4.7,6/8/2003
123.86,12.192,10,4.6,7/8/2003
128.245,1.178,15,5.6,11/8/2003
128.282,1.228,53,5.4,11/8/2003
121.789,20.319,81,5.2,17/8/2003
126.055,0.184,27,4.4,28/8/2003
119.692,13.89,21,5,31/8/2003
122.169,12.147,19,4.9,1/9/2003
122.339,12.099,24,5.4,1/9/2003
121.578,21.944,10,4.3,6/9/2003
121.403,22.68,100,4.9,10/9/2003
121.009,18.644,70,5.5,14/9/2003
120.591,21.925,34,4.6,24/9/2003
126.23,0.47,42,4.4,24/9/2003
119.56,17.953,15,4.5,25/9/2003
119.529,17.927,15,4.6,26/9/2003
119.446,17.864,38,4.6,28/9/2003
125.895,4.612,163,4.8,2/10/2003
126.738,2.376,42,4.4,5/10/2003
119.951,13.78,42,5.7,9/10/2003
